Power(MW)	Margin_DDE	Dominant_Real	Dominant_Imag	Freq(Hz)	Period(s)
100.0	+0.015785	+0.015785	+0.000000	0.0000	Inf
146.3	+0.012176	+0.012176	+0.000000	0.0000	Inf
192.7	+0.010096	+0.010096	+0.000000	0.0000	Inf
239.0	+0.008420	+0.008420	+0.000000	0.0000	Inf
285.4	+0.006884	+0.006884	+0.000000	0.0000	Inf
331.7	+0.005404	+0.005404	+0.000000	0.0000	Inf
378.0	+0.003954	+0.003954	+0.000000	0.0000	Inf
424.4	+0.002516	+0.002516	+0.000000	0.0000	Inf
470.7	+0.001109	+0.001109	+0.000000	0.0000	Inf
517.1	+0.000280	+0.000280	+0.000413	0.0001	15202.29
563.4	+0.000013	+0.000013	+0.000371	0.0001	16945.57
609.8	-0.000026	-0.000026	+0.000030	0.0000	206663.54
656.1	-0.000026	-0.000026	+0.000031	0.0000	201013.49
702.4	-0.000026	-0.000026	+0.000032	0.0000	196071.50
748.8	-0.000026	-0.000026	+0.000033	0.0000	191720.27
795.1	-0.000026	-0.000026	+0.000033	0.0000	187864.34
841.5	-0.000026	-0.000026	+0.000034	0.0000	184426.07
887.8	-0.000026	-0.000026	+0.000035	0.0000	181342.21
934.1	-0.000026	-0.000026	+0.000035	0.0000	178561.03
980.5	-0.000026	-0.000026	+0.000036	0.0000	176040.05
1026.8	-0.000026	-0.000026	+0.000036	0.0000	173744.17
1073.2	-0.000026	-0.000026	+0.000037	0.0000	171644.28
1119.5	-0.000026	-0.000026	+0.000037	0.0000	169716.05
1165.9	-0.000026	-0.000026	+0.000037	0.0000	167939.02
1212.2	-0.000026	-0.000026	+0.000038	0.0000	166295.94
1258.5	-0.000026	-0.000026	+0.000038	0.0000	164157.32
1304.9	-0.000026	-0.000026	+0.000039	0.0000	160330.42
1351.2	-0.000026	-0.000026	+0.000040	0.0000	157342.69
1397.6	-0.000026	-0.000026	+0.000041	0.0000	155044.35
1443.9	-0.000026	-0.000026	+0.000041	0.0000	153306.54
1490.2	-0.000026	-0.000026	+0.000041	0.0000	152863.30
1536.6	-0.000026	-0.000026	+0.000041	0.0000	152877.93
1582.9	-0.000026	-0.000026	+0.000041	0.0000	152784.04
1629.3	-0.000026	-0.000026	+0.000041	0.0000	152602.07
1675.6	-0.000026	-0.000026	+0.000041	0.0000	152348.90
1722.0	-0.000026	-0.000026	+0.000041	0.0000	152038.50
1768.3	-0.000026	-0.000026	+0.000041	0.0000	151682.46
1814.6	-0.000026	-0.000026	+0.000042	0.0000	151290.43
1861.0	-0.000026	-0.000026	+0.000042	0.0000	150870.47
1907.3	-0.000026	-0.000026	+0.000042	0.0000	150429.29
1953.7	-0.000026	-0.000026	+0.000042	0.0000	149972.51
2000.0	-0.000026	-0.000026	+0.000042	0.0000	149504.81
