Index	Stability_Margin	Dominant_Real	Dominant_Imag	Num_Oscillatory_Modes	Computation_Time(s)
1	+0.015785	+0.015785	+0.000000	18	0.1848
2	+0.012176	+0.012176	+0.000000	18	0.1121
3	+0.010096	+0.010096	+0.000000	18	0.1562
4	+0.008420	+0.008420	+0.000000	19	0.1053
5	+0.006884	+0.006884	+0.000000	19	0.1497
6	+0.005404	+0.005404	+0.000000	19	0.1397
7	+0.003954	+0.003954	+0.000000	19	0.0979
8	+0.002516	+0.002516	+0.000000	19	0.0963
9	+0.001109	+0.001109	+0.000000	19	0.1365
10	+0.000280	+0.000280	+0.000413	19	0.0972
11	+0.000013	+0.000013	+0.000371	19	0.1475
12	-0.000026	-0.000026	+0.000030	19	0.0947
13	-0.000026	-0.000026	+0.000031	19	0.0972
14	-0.000026	-0.000026	+0.000032	18	0.0950
15	-0.000026	-0.000026	+0.000033	18	0.0955
16	-0.000026	-0.000026	+0.000033	18	0.0979
17	-0.000026	-0.000026	+0.000034	18	0.0968
18	-0.000026	-0.000026	+0.000035	18	0.1299
19	-0.000026	-0.000026	+0.000035	18	0.0954
20	-0.000026	-0.000026	+0.000036	18	0.0925
21	-0.000026	-0.000026	+0.000036	18	0.1347
22	-0.000026	-0.000026	+0.000037	18	0.1168
23	-0.000026	-0.000026	+0.000037	18	0.0140
24	-0.000026	-0.000026	+0.000037	18	0.0134
25	-0.000026	-0.000026	+0.000038	18	0.0557
26	-0.000026	-0.000026	+0.000038	18	0.0520
27	-0.000026	-0.000026	+0.000039	18	0.0138
28	-0.000026	-0.000026	+0.000040	18	0.0435
29	-0.000026	-0.000026	+0.000041	18	0.0137
30	-0.000026	-0.000026	+0.000041	18	0.0138
31	-0.000026	-0.000026	+0.000041	18	0.0486
32	-0.000026	-0.000026	+0.000041	18	0.0526
33	-0.000026	-0.000026	+0.000041	18	0.0432
34	-0.000026	-0.000026	+0.000041	18	0.0136
35	-0.000026	-0.000026	+0.000041	18	0.0135
36	-0.000026	-0.000026	+0.000041	18	0.0158
37	-0.000026	-0.000026	+0.000041	18	0.0438
38	-0.000026	-0.000026	+0.000042	18	0.0438
39	-0.000026	-0.000026	+0.000042	18	0.0134
40	-0.000026	-0.000026	+0.000042	18	0.0489
41	-0.000026	-0.000026	+0.000042	18	0.0498
42	-0.000026	-0.000026	+0.000042	18	0.0133
