Power(MW)	Converged	Max_Derivative	Power_Error	Solve_Time(s)
100.0	1	3.450245e-02	3.994054e-07	1.5569
146.3	1	3.174937e-02	3.686521e-07	0.0540
192.7	1	2.790662e-02	2.793458e-07	0.0388
239.0	1	2.355458e-02	2.027897e-07	0.0306
285.4	1	1.890394e-02	1.419078e-07	0.0338
331.7	1	1.405557e-02	9.333619e-08	0.0162
378.0	1	9.068150e-03	5.394737e-08	0.0175
424.4	1	3.979764e-03	2.143973e-08	0.0170
470.7	1	5.581160e-03	7.212688e-08	0.0514
517.1	1	2.908395e-02	3.097154e-07	0.0161
563.4	1	5.095616e-02	4.515580e-07	0.0125
609.8	1	7.121766e-02	5.302559e-07	0.0138
656.1	1	8.995231e-02	5.678378e-07	0.0293
702.4	1	1.072711e-01	5.789647e-07	0.0266
748.8	1	1.232928e-01	5.733381e-07	0.0220
795.1	1	1.381340e-01	5.573705e-07	0.0294
841.5	1	1.519043e-01	5.352943e-07	0.0221
887.8	1	1.647046e-01	5.098963e-07	0.0303
934.1	1	1.766259e-01	4.830037e-07	0.1000
980.5	1	1.877503e-01	4.558009e-07	0.0443
1026.8	1	1.981511e-01	4.290429e-07	0.0333
1073.2	1	2.078939e-01	4.031969e-07	0.0794
1119.5	1	2.170371e-01	3.785369e-07	0.0683
1165.9	1	2.256328e-01	3.552075e-07	0.0616
1212.2	1	2.337276e-01	3.332682e-07	0.0654
1258.5	1	2.397719e-01	4.344266e-07	0.0828
1304.9	1	2.396661e-01	8.501409e-07	0.0488
1351.2	1	2.395682e-01	1.093021e-06	0.0353
1397.6	1	2.394759e-01	1.225105e-06	0.0322
1443.9	1	2.393877e-01	1.286131e-06	0.0405
1490.2	1	2.390440e-01	7.480694e-06	0.0218
1536.6	1	2.385619e-01	1.701276e-05	0.0166
1582.9	1	3.410946e-01	2.623366e-05	0.0163
1629.3	1	4.682771e-01	3.513768e-05	0.0144
1675.6	1	5.971863e-01	4.372403e-05	0.0157
1722.0	1	7.276337e-01	5.199553e-05	0.0153
1768.3	1	8.594507e-01	5.995772e-05	0.0155
1814.6	1	9.924868e-01	6.761810e-05	0.0157
1861.0	1	1.126607e+00	7.498549e-05	0.0150
1907.3	1	1.261692e+00	8.206966e-05	0.0140
1953.7	1	1.397633e+00	8.888095e-05	0.0143
2000.0	1	1.534333e+00	9.542997e-05	0.0142
